age,job,salary,marital,education,targeted,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,label
29,admin.,50000,single,secondary,yes,no,818,yes,yes,unknown,5,may,61,1,-1,0,unknown,no
34,services,70000,married,secondary,yes,no,-16,yes,yes,unknown,5,may,78,1,-1,0,unknown,no
31,blue-collar,20000,married,secondary,yes,no,0,yes,no,unknown,5,may,143,1,-1,0,unknown,no
55,services,70000,married,secondary,yes,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,yes
55,management,100000,married,unknown,no,no,1185,no,no,unknown,5,may,677,1,-1,0,unknown,no
32,admin.,50000,single,secondary,yes,no,217,yes,no,unknown,5,may,345,1,-1,0,unknown,no
38,technician,60000,single,secondary,yes,no,1685,yes,no,unknown,5,may,185,1,-1,0,unknown,no
55,admin.,50000,single,secondary,yes,no,802,yes,yes,unknown,5,may,100,2,-1,0,unknown,no
28,unemployed,8000,single,tertiary,no,no,0,yes,no,unknown,5,may,125,2,-1,0,unknown,no
23,blue-collar,20000,married,secondary,yes,no,94,yes,no,unknown,5,may,193,1,-1,0,unknown,no
32,technician,60000,single,secondary,yes,no,0,yes,no,unknown,5,may,136,1,-1,0,unknown,no
43,services,70000,single,unknown,no,no,0,no,no,unknown,5,may,73,1,-1,0,unknown,no
32,blue-collar,20000,married,secondary,yes,no,517,yes,no,unknown,5,may,528,1,-1,0,unknown,no
46,blue-collar,20000,married,secondary,yes,no,265,yes,no,unknown,5,may,541,1,-1,0,unknown,no
53,housemaid,16000,divorced,primary,yes,no,947,yes,no,unknown,5,may,163,1,-1,0,unknown,no
34,self-employed,60000,single,secondary,yes,no,3,yes,no,unknown,5,may,301,1,-1,0,unknown,no
57,unemployed,8000,married,tertiary,yes,no,42,no,no,unknown,5,may,46,1,-1,0,unknown,no
37,blue-collar,20000,married,secondary,yes,no,37,yes,no,unknown,5,may,204,1,-1,0,unknown,no
59,blue-collar,20000,married,secondary,yes,no,57,yes,no,unknown,5,may,98,1,-1,0,unknown,no
33,services,70000,married,secondary,yes,no,22,yes,no,unknown,5,may,71,1,-1,0,unknown,no
56,blue-collar,20000,divorced,primary,yes,no,8,yes,no,unknown,5,may,157,2,-1,0,unknown,no
48,unemployed,8000,married,secondary,yes,no,293,yes,no,unknown,5,may,243,1,-1,0,unknown,no
43,services,70000,married,primary,yes,no,3,yes,no,unknown,5,may,186,2,-1,0,unknown,no
54,blue-collar,20000,married,primary,yes,no,348,yes,no,unknown,5,may,579,2,-1,0,unknown,no
51,blue-collar,20000,married,unknown,no,no,-19,yes,no,unknown,5,may,163,2,-1,0,unknown,no
26,student,4000,single,secondary,yes,no,0,yes,no,unknown,5,may,610,2,-1,0,unknown,no
40,management,100000,married,tertiary,yes,no,-4,yes,no,unknown,5,may,2033,1,-1,0,unknown,no
39,management,100000,married,secondary,yes,no,18,yes,no,unknown,5,may,85,1,-1,0,unknown,no
50,technician,60000,married,primary,yes,no,139,no,no,unknown,5,may,114,2,-1,0,unknown,no
41,services,70000,married,secondary,yes,no,0,yes,no,unknown,5,may,114,2,-1,0,unknown,no
51,blue-collar,20000,married,unknown,no,no,1883,yes,no,unknown,5,may,57,1,-1,0,unknown,no
60,retired,55000,divorced,secondary,yes,no,216,yes,no,unknown,5,may,238,1,-1,0,unknown,no
52,blue-collar,20000,married,secondary,yes,no,782,yes,no,unknown,5,may,93,3,-1,0,unknown,no
48,blue-collar,20000,married,secondary,yes,no,904,yes,no,unknown,5,may,128,2,-1,0,unknown,no
48,services,70000,married,unknown,no,no,1705,yes,no,unknown,5,may,107,1,-1,0,unknown,no
39,technician,60000,single,tertiary,no,no,47,yes,no,unknown,5,may,181,1,-1,0,unknown,no
47,services,70000,single,secondary,yes,no,176,yes,no,unknown,5,may,303,2,-1,0,unknown,no
40,blue-collar,20000,married,secondary,yes,no,1225,yes,no,unknown,5,may,558,5,-1,0,unknown,no
45,technician,60000,married,secondary,yes,no,86,yes,no,unknown,5,may,270,1,-1,0,unknown,no
26,admin.,50000,single,secondary,yes,no,82,yes,no,unknown,5,may,228,1,-1,0,unknown,no
52,management,100000,married,tertiary,yes,no,271,yes,no,unknown,5,may,99,1,-1,0,unknown,no
54,technician,60000,married,secondary,yes,no,1378,yes,no,unknown,5,may,240,1,-1,0,unknown,no
54,admin.,50000,married,tertiary,yes,no,184,no,no,unknown,5,may,673,2,-1,0,unknown,yes
50,blue-collar,20000,married,primary,yes,no,0,no,no,unknown,5,may,233,3,-1,0,unknown,no
35,blue-collar,20000,married,secondary,yes,no,0,yes,no,unknown,5,may,1056,1,-1,0,unknown,no
44,services,70000,married,secondary,yes,no,1357,yes,yes,unknown,5,may,250,1,-1,0,unknown,no
53,entrepreneur,120000,married,unknown,no,no,19,yes,no,unknown,5,may,252,1,-1,0,unknown,no
35,retired,55000,single,primary,yes,no,434,no,no,unknown,5,may,138,1,-1,0,unknown,no
60,admin.,50000,divorced,secondary,yes,no,92,yes,no,unknown,5,may,130,1,-1,0,unknown,no
53,admin.,50000,divorced,secondary,yes,no,1151,yes,no,unknown,5,may,412,1,-1,0,unknown,no
48,unemployed,8000,married,secondary,yes,no,41,yes,no,unknown,5,may,179,2,-1,0,unknown,no
34,technician,60000,married,secondary,yes,no,51,yes,no,unknown,5,may,19,2,-1,0,unknown,no
54,services,70000,married,secondary,yes,no,214,yes,no,unknown,5,may,458,2,-1,0,unknown,no
51,management,100000,married,secondary,yes,no,1161,yes,no,unknown,5,may,717,1,-1,0,unknown,no
31,services,70000,married,tertiary,yes,no,37,yes,no,unknown,5,may,313,1,-1,0,unknown,no
35,technician,60000,divorced,secondary,yes,no,787,yes,no,unknown,5,may,683,2,-1,0,unknown,no
35,services,70000,married,secondary,yes,no,59,yes,no,unknown,5,may,1077,1,-1,0,unknown,no
38,technician,60000,married,secondary,yes,no,253,yes,no,unknown,5,may,416,1,-1,0,unknown,no
36,admin.,50000,married,tertiary,yes,no,211,yes,no,unknown,5,may,146,2,-1,0,unknown,no
58,retired,55000,married,primary,yes,no,235,yes,no,unknown,5,may,167,1,-1,0,unknown,no
40,services,70000,divorced,unknown,no,no,4384,yes,no,unknown,5,may,315,1,-1,0,unknown,no
54,management,100000,married,secondary,yes,no,4080,no,no,unknown,5,may,140,1,-1,0,unknown,no
34,blue-collar,20000,single,secondary,yes,no,53,yes,yes,unknown,5,may,346,1,-1,0,unknown,no
31,management,100000,single,tertiary,no,no,0,yes,no,unknown,5,may,562,1,-1,0,unknown,no
51,retired,55000,married,secondary,yes,no,2127,yes,no,unknown,5,may,172,1,-1,0,unknown,no
33,management,100000,married,tertiary,yes,no,377,yes,no,unknown,5,may,217,1,-1,0,unknown,no
55,management,100000,married,tertiary,yes,no,73,yes,no,unknown,5,may,142,2,-1,0,unknown,no
42,admin.,50000,married,secondary,yes,no,445,yes,no,unknown,5,may,67,1,-1,0,unknown,no
34,blue-collar,20000,married,secondary,yes,no,243,yes,no,unknown,5,may,291,1,-1,0,unknown,no
33,blue-collar,20000,single,secondary,yes,no,307,yes,no,unknown,5,may,309,2,-1,0,unknown,no
38,services,70000,married,secondary,yes,no,155,yes,no,unknown,5,may,248,1,-1,0,unknown,no
50,technician,60000,divorced,tertiary,no,no,173,no,yes,unknown,5,may,98,1,-1,0,unknown,no
43,management,100000,married,tertiary,yes,no,400,yes,no,unknown,5,may,256,1,-1,0,unknown,no
61,blue-collar,20000,divorced,primary,yes,no,1428,yes,no,unknown,5,may,82,2,-1,0,unknown,no
47,admin.,50000,married,secondary,yes,no,219,yes,no,unknown,5,may,577,1,-1,0,unknown,no
48,self-employed,60000,married,tertiary,yes,no,7,yes,no,unknown,5,may,286,1,-1,0,unknown,no
44,blue-collar,20000,married,secondary,yes,no,575,yes,no,unknown,5,may,477,1,-1,0,unknown,no
35,student,4000,single,unknown,no,no,298,yes,no,unknown,5,may,611,2,-1,0,unknown,no
35,services,70000,married,secondary,yes,no,0,yes,no,unknown,5,may,471,1,-1,0,unknown,no
50,services,70000,married,secondary,yes,no,5699,yes,no,unknown,5,may,381,2,-1,0,unknown,no
41,management,100000,married,tertiary,yes,no,176,yes,yes,unknown,5,may,42,1,-1,0,unknown,no
41,management,100000,married,tertiary,yes,no,517,yes,no,unknown,5,may,251,1,-1,0,unknown,no
39,services,70000,single,unknown,no,no,257,yes,no,unknown,5,may,408,1,-1,0,unknown,no
42,retired,55000,married,secondary,yes,no,56,yes,no,unknown,5,may,215,1,-1,0,unknown,no
38,blue-collar,20000,married,secondary,yes,no,-390,yes,no,unknown,5,may,287,1,-1,0,unknown,no
53,retired,55000,married,secondary,yes,no,330,yes,no,unknown,5,may,216,2,-1,0,unknown,no
59,housemaid,16000,divorced,primary,yes,no,195,no,no,unknown,5,may,366,2,-1,0,unknown,no
36,services,70000,married,secondary,yes,no,301,yes,no,unknown,5,may,210,1,-1,0,unknown,no
54,blue-collar,20000,married,primary,yes,no,-41,yes,no,unknown,5,may,288,1,-1,0,unknown,no
40,technician,60000,married,tertiary,yes,no,483,yes,no,unknown,5,may,168,1,-1,0,unknown,no
47,unknown,0,married,unknown,no,no,28,no,no,unknown,5,may,338,2,-1,0,unknown,no
53,unemployed,8000,married,unknown,no,no,13,no,no,unknown,5,may,410,3,-1,0,unknown,no
46,housemaid,16000,married,primary,yes,no,965,no,no,unknown,5,may,177,1,-1,0,unknown,no
39,management,100000,married,tertiary,yes,no,378,yes,yes,unknown,5,may,127,2,-1,0,unknown,no
40,unemployed,8000,married,secondary,yes,no,219,yes,no,unknown,5,may,357,1,-1,0,unknown,no
28,blue-collar,20000,married,primary,yes,no,324,yes,no,unknown,5,may,175,1,-1,0,unknown,no
35,entrepreneur,120000,divorced,secondary,yes,no,-69,yes,no,unknown,5,may,300,1,-1,0,unknown,no
55,retired,55000,married,secondary,yes,no,0,no,yes,unknown,5,may,136,1,-1,0,unknown,no
43,technician,60000,divorced,unknown,no,no,205,yes,no,unknown,5,may,1419,1,-1,0,unknown,no
48,blue-collar,20000,married,primary,yes,no,278,yes,no,unknown,5,may,125,2,-1,0,unknown,no
58,management,100000,married,unknown,no,no,1065,yes,no,unknown,5,may,213,3,-1,0,unknown,no
33,management,100000,single,tertiary,no,no,34,yes,no,unknown,5,may,27,1,-1,0,unknown,no
36,blue-collar,20000,married,unknown,no,no,1033,no,no,unknown,5,may,238,2,-1,0,unknown,no
53,services,70000,divorced,secondary,yes,no,1467,yes,no,unknown,5,may,124,1,-1,0,unknown,no
47,blue-collar,20000,married,primary,yes,no,-12,yes,no,unknown,5,may,18,1,-1,0,unknown,no
31,services,70000,married,secondary,yes,no,388,yes,no,unknown,5,may,730,2,-1,0,unknown,no
57,entrepreneur,120000,married,secondary,yes,no,294,yes,no,unknown,5,may,746,2,-1,0,unknown,no
53,blue-collar,20000,married,unknown,no,no,1827,no,no,unknown,5,may,121,1,-1,0,unknown,no
55,blue-collar,20000,married,primary,yes,no,627,yes,no,unknown,5,may,247,1,-1,0,unknown,no
45,blue-collar,20000,married,primary,yes,no,25,yes,no,unknown,5,may,40,1,-1,0,unknown,no
53,admin.,50000,divorced,secondary,yes,no,315,yes,no,unknown,5,may,181,2,-1,0,unknown,no
37,blue-collar,20000,married,primary,yes,no,0,yes,no,unknown,5,may,79,1,-1,0,unknown,no
44,admin.,50000,divorced,secondary,yes,no,66,yes,no,unknown,5,may,206,1,-1,0,unknown,no
49,blue-collar,20000,divorced,primary,yes,no,-9,yes,yes,unknown,5,may,389,1,-1,0,unknown,no
46,technician,60000,married,secondary,yes,no,349,yes,yes,unknown,5,may,127,1,-1,0,unknown,no
43,entrepreneur,120000,married,unknown,no,no,100,yes,no,unknown,5,may,702,1,-1,0,unknown,no
38,admin.,50000,married,secondary,yes,no,0,no,no,unknown,5,may,151,1,-1,0,unknown,no
43,technician,60000,married,secondary,yes,no,434,yes,no,unknown,5,may,117,1,-1,0,unknown,no
49,management,100000,married,tertiary,yes,no,3237,yes,no,unknown,5,may,232,3,-1,0,unknown,no
42,management,100000,married,unknown,no,no,275,no,no,unknown,5,may,408,2,-1,0,unknown,no
22,blue-collar,20000,single,secondary,yes,no,0,yes,no,unknown,5,may,179,2,-1,0,unknown,no
40,management,100000,married,tertiary,yes,no,207,yes,no,unknown,5,may,39,1,-1,0,unknown,no
39,blue-collar,20000,married,secondary,yes,no,483,yes,no,unknown,5,may,282,1,-1,0,unknown,no
51,services,70000,married,secondary,yes,no,2248,yes,no,unknown,5,may,714,2,-1,0,unknown,no
49,admin.,50000,married,secondary,yes,no,428,yes,no,unknown,5,may,50,1,-1,0,unknown,no
53,blue-collar,20000,married,secondary,yes,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no
34,services,70000,single,secondary,yes,no,0,yes,no,unknown,5,may,142,1,-1,0,unknown,no
33,technician,60000,divorced,secondary,yes,no,140,yes,no,unknown,5,may,227,1,-1,0,unknown,no
50,management,100000,single,tertiary,no,no,297,yes,no,unknown,5,may,119,1,-1,0,unknown,no
39,blue-collar,20000,married,primary,yes,no,279,yes,no,unknown,5,may,361,1,-1,0,unknown,no
59,entrepreneur,120000,divorced,secondary,yes,no,901,yes,no,unknown,5,may,73,3,-1,0,unknown,no
30,technician,60000,single,secondary,yes,no,2573,yes,no,unknown,5,may,67,2,-1,0,unknown,no
36,services,70000,married,secondary,yes,no,143,yes,yes,unknown,5,may,350,1,-1,0,unknown,no
40,blue-collar,20000,married,secondary,yes,no,475,yes,no,unknown,5,may,332,2,-1,0,unknown,no
53,blue-collar,20000,married,secondary,yes,no,70,yes,no,unknown,5,may,611,2,-1,0,unknown,no
34,management,100000,single,tertiary,no,no,318,yes,no,unknown,5,may,113,2,-1,0,unknown,no
37,technician,60000,married,secondary,yes,no,275,yes,no,unknown,5,may,132,1,-1,0,unknown,no
42,management,100000,divorced,tertiary,no,no,742,yes,no,unknown,5,may,58,3,-1,0,unknown,no
41,entrepreneur,120000,married,primary,yes,no,236,yes,no,unknown,5,may,151,1,-1,0,unknown,no
30,student,4000,single,tertiary,no,no,25,yes,no,unknown,5,may,89,2,-1,0,unknown,no
37,management,100000,single,tertiary,no,no,600,yes,no,unknown,5,may,152,1,-1,0,unknown,no
39,admin.,50000,divorced,secondary,yes,no,-349,yes,no,unknown,5,may,611,2,-1,0,unknown,no
41,blue-collar,20000,married,primary,yes,no,183,yes,yes,unknown,5,may,110,2,-1,0,unknown,no
40,blue-collar,20000,married,primary,yes,no,0,yes,no,unknown,5,may,463,1,-1,0,unknown,no
42,management,100000,single,tertiary,no,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,yes
40,blue-collar,20000,divorced,primary,yes,no,0,yes,no,unknown,5,may,962,1,-1,0,unknown,no
57,technician,60000,married,secondary,yes,no,1078,yes,no,unknown,5,may,10,4,-1,0,unknown,no
56,entrepreneur,120000,divorced,secondary,yes,no,155,no,no,unknown,5,may,118,3,-1,0,unknown,no
37,admin.,50000,married,secondary,yes,no,190,yes,no,unknown,5,may,92,2,-1,0,unknown,no
59,retired,55000,married,secondary,yes,no,319,yes,no,unknown,5,may,143,3,-1,0,unknown,no
