action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,label,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id
Jump Shot,Jump Shot,355,20301110,33.9983,-123,46,-118.3928,0,3,0,2003-04,3,13,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-04-04,LAL vs. SAS,SAS,6086
Jump Shot,Jump Shot,390,20301110,34.0163,167,28,-118.1028,9,4,0,2003-04,14,16,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-04-04,LAL vs. SAS,SAS,6087
Jump Shot,Jump Shot,392,20301110,34.0223,-61,22,-118.3308,9,4,0,2003-04,1,6,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-04,LAL vs. SAS,SAS,6088
Driving Layup Shot,Layup,414,20301110,34.0443,0,0,-118.2698,6,4,0,2003-04,35,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-04,LAL vs. SAS,SAS,6089
Jump Shot,Jump Shot,461,20301110,33.8503,-186,194,-118.4558,1,4,0,2003-04,53,26,1.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-04,LAL vs. SAS,SAS,6090
Driving Layup Shot,Layup,10,20301121,34.0443,0,0,-118.2698,10,1,0,2003-04,20,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6091
Jump Shot,Jump Shot,36,20301121,34.0623,130,-18,-118.1398,8,1,0,2003-04,38,13,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6092
Jump Shot,Jump Shot,65,20301121,33.8523,-172,192,-118.4418,5,1,0,2003-04,31,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6093
Jump Shot,Jump Shot,68,20301121,34.0223,-148,22,-118.4178,4,1,0,2003-04,57,14,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6094
Turnaround Jump Shot,Jump Shot,71,20301121,34.0093,-29,35,-118.2988,4,1,0,2003-04,30,4,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6095
Jump Shot,Jump Shot,110,20301121,33.8753,94,169,-118.1758,11,2,0,2003-04,22,19,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6096
Jump Shot,Jump Shot,124,20301121,34.0213,34,23,-118.2358,9,2,0,2003-04,44,4,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6097
Layup Shot,Layup,146,20301121,34.0443,0,0,-118.2698,7,2,0,2003-04,7,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6098
Layup Shot,Layup,148,20301121,34.0443,0,0,-118.2698,7,2,0,2003-04,1,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6099
Layup Shot,Layup,149,20301121,34.0443,0,0,-118.2698,7,2,0,2003-04,0,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6100
Jump Shot,Jump Shot,185,20301121,33.9723,49,72,-118.2208,3,2,0,2003-04,2,8,0.0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6101
Slam Dunk Shot,Dunk,191,20301121,34.0443,0,0,-118.2698,2,2,0,2003-04,33,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6102
Layup Shot,Layup,200,20301121,34.0443,0,0,-118.2698,2,2,0,2003-04,2,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6103
Driving Layup Shot,Layup,214,20301121,34.0443,0,0,-118.2698,0,2,0,2003-04,23,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6104
Jump Shot,Jump Shot,257,20301121,33.8073,-115,237,-118.3848,9,3,0,2003-04,11,26,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6105
Dunk Shot,Dunk,259,20301121,34.0443,0,0,-118.2698,9,3,0,2003-04,5,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6106
Jump Shot,Jump Shot,261,20301121,34.0673,-243,-23,-118.5128,8,3,0,2003-04,56,24,0.0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6107
Layup Shot,Layup,280,20301121,34.0443,0,0,-118.2698,7,3,0,2003-04,13,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6108
Layup Shot,Layup,288,20301121,34.0443,0,0,-118.2698,6,3,0,2003-04,0,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6109
Jump Shot,Jump Shot,337,20301121,33.9623,-202,82,-118.4718,0,3,0,2003-04,22,21,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6110
Jump Shot,Jump Shot,374,20301121,34.0523,222,-8,-118.0478,8,4,0,2003-04,30,22,0.0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6111
Jump Shot,Jump Shot,389,20301121,33.9913,-241,53,-118.5108,6,4,0,2003-04,50,24,0.0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6112
Jump Shot,Jump Shot,399,20301121,33.9093,-215,135,-118.4848,5,4,0,2003-04,28,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-06,LAL vs. POR,POR,6113
Reverse Layup Shot,Layup,25,20301145,34.0443,0,0,-118.2698,9,1,0,2003-04,22,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6114
Running Jump Shot,Jump Shot,30,20301145,33.9753,29,69,-118.2408,8,1,0,2003-04,30,7,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6115
Layup Shot,Layup,38,20301145,34.0443,0,0,-118.2698,7,1,0,2003-04,5,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6116
Layup Shot,Layup,72,20301145,34.0443,0,0,-118.2698,5,1,0,2003-04,5,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6117
Layup Shot,Layup,89,20301145,34.0443,0,0,-118.2698,2,1,0,2003-04,32,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6118
Jump Shot,Jump Shot,93,20301145,34.0113,56,33,-118.2138,2,1,0,2003-04,13,6,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6119
Layup Shot,Layup,98,20301145,34.0443,0,0,-118.2698,1,1,0,2003-04,42,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6120
Jump Shot,Jump Shot,108,20301145,34.0503,172,-6,-118.0978,1,1,0,2003-04,20,17,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6121
Jump Shot,Jump Shot,115,20301145,33.8813,-197,163,-118.4668,0,1,0,2003-04,5,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6122
Driving Layup Shot,Layup,180,20301145,34.0443,0,0,-118.2698,6,2,0,2003-04,0,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6123
Finger Roll Shot,Layup,196,20301145,34.0133,10,31,-118.2598,5,2,0,2003-04,1,3,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6124
Driving Layup Shot,Layup,198,20301145,34.0443,0,0,-118.2698,4,2,0,2003-04,43,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6125
Slam Dunk Shot,Dunk,203,20301145,34.0443,0,0,-118.2698,4,2,0,2003-04,24,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6126
Jump Shot,Jump Shot,238,20301145,33.8223,-118,222,-118.3878,0,2,0,2003-04,38,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6127
Jump Shot,Jump Shot,264,20301145,33.8553,164,189,-118.1058,10,3,0,2003-04,24,25,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6128
Dunk Shot,Dunk,283,20301145,34.0443,0,0,-118.2698,8,3,0,2003-04,10,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6129
Dunk Shot,Dunk,347,20301145,34.0443,0,0,-118.2698,1,3,0,2003-04,56,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6130
Jump Shot,Jump Shot,357,20301145,33.9523,2,92,-118.2678,5,2,0,2003-04,4,9,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6131
Jump Shot,Jump Shot,384,20301145,33.9833,38,61,-118.2318,11,4,0,2003-04,45,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6132
Jump Shot,Jump Shot,398,20301145,34.0703,-123,-26,-118.3928,10,4,0,2003-04,9,12,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6133
Slam Dunk Shot,Dunk,418,20301145,34.0443,0,0,-118.2698,8,4,0,2003-04,30,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6134
Jump Shot,Jump Shot,450,20301145,34.0573,143,-13,-118.1268,4,4,0,2003-04,51,14,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6135
Jump Shot,Jump Shot,499,20301145,33.8353,136,209,-118.1338,1,4,0,2003-04,19,24,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-09,LAL vs. MEM,MEM,6136
Jump Shot,Jump Shot,164,20301157,33.8583,158,186,-118.1118,6,2,0,2003-04,41,24,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-11,LAL @ SAC,SAC,6137
Jump Shot,Jump Shot,250,20301157,33.9013,135,143,-118.1348,10,3,0,2003-04,15,19,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-04-11,LAL @ SAC,SAC,6138
Jump Shot,Jump Shot,296,20301157,33.8583,-92,186,-118.3618,4,3,0,2003-04,4,20,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-04-11,LAL @ SAC,SAC,6139
Jump Shot,Jump Shot,301,20301157,33.9763,166,68,-118.1038,3,3,0,2003-04,52,17,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-04-11,LAL @ SAC,SAC,6140
Jump Shot,Jump Shot,318,20301157,33.9863,184,58,-118.0858,1,3,0,2003-04,39,19,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-04-11,LAL @ SAC,SAC,6141
Driving Layup Shot,Layup,322,20301157,34.0443,0,0,-118.2698,0,3,0,2003-04,44,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-11,LAL @ SAC,SAC,6142
Jump Shot,Jump Shot,329,20301157,33.8093,-108,235,-118.3778,0,3,0,2003-04,1,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-11,LAL @ SAC,SAC,6143
Jump Shot,Jump Shot,362,20301157,34.0013,232,43,-118.0378,8,4,0,2003-04,45,23,,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-11,LAL @ SAC,SAC,6144
Jump Shot,Jump Shot,370,20301157,33.9343,-115,110,-118.3848,8,4,0,2003-04,37,15,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-04-11,LAL @ SAC,SAC,6145
Layup Shot,Layup,375,20301157,34.0443,0,0,-118.2698,8,4,0,2003-04,7,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-11,LAL @ SAC,SAC,6146
Jump Shot,Jump Shot,411,20301157,33.8573,-77,187,-118.3468,5,4,0,2003-04,35,20,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-04-11,LAL @ SAC,SAC,6147
Reverse Layup Shot,Layup,426,20301157,34.0443,0,0,-118.2698,4,4,0,2003-04,7,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-11,LAL @ SAC,SAC,6148
Driving Layup Shot,Layup,429,20301157,34.0443,0,0,-118.2698,3,4,0,2003-04,27,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-11,LAL @ SAC,SAC,6149
Jump Shot,Jump Shot,4,20301175,34.0293,223,15,-118.0468,11,1,0,2003-04,25,22,,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6150
Driving Layup Shot,Layup,8,20301175,34.0443,0,0,-118.2698,11,1,0,2003-04,2,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6151
Jump Shot,Jump Shot,10,20301175,34.0633,194,-19,-118.0758,10,1,0,2003-04,57,19,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6152
Slam Dunk Shot,Dunk,21,20301175,34.0443,0,0,-118.2698,8,1,0,2003-04,59,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6153
Layup Shot,Layup,24,20301175,34.0443,0,0,-118.2698,8,1,0,2003-04,29,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6154
Jump Shot,Jump Shot,42,20301175,33.9393,8,105,-118.2618,6,1,0,2003-04,30,10,,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6155
Slam Dunk Shot,Dunk,45,20301175,34.0443,0,0,-118.2698,6,1,0,2003-04,6,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6156
Jump Shot,Jump Shot,88,20301175,34.0443,0,0,-118.2698,2,1,0,2003-04,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6157
Jump Shot,Jump Shot,91,20301175,33.8063,94,238,-118.1758,1,1,0,2003-04,26,25,,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6158
Slam Dunk Shot,Dunk,96,20301175,34.0443,0,0,-118.2698,0,1,0,2003-04,57,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6159
Jump Shot,Jump Shot,101,20301175,33.9213,0,123,-118.2698,0,1,0,2003-04,27,12,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6160
Driving Layup Shot,Layup,163,20301175,34.0443,0,0,-118.2698,6,2,0,2003-04,16,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6161
Jump Shot,Jump Shot,169,20301175,34.0113,164,33,-118.1058,5,2,0,2003-04,41,16,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6162
Jump Shot,Jump Shot,183,20301175,33.8803,-195,164,-118.4648,4,2,0,2003-04,51,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6163
Jump Shot,Jump Shot,223,20301175,33.9523,-49,92,-118.3188,0,2,0,2003-04,39,10,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6164
Driving Layup Shot,Layup,228,20301175,34.0443,0,0,-118.2698,0,2,0,2003-04,6,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6165
Jump Shot,Jump Shot,238,20301175,34.0293,140,15,-118.1298,11,3,0,2003-04,0,14,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6166
Slam Dunk Shot,Dunk,261,20301175,34.0443,0,0,-118.2698,6,3,0,2003-04,53,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6167
Jump Shot,Jump Shot,286,20301175,33.9073,56,137,-118.2138,3,3,0,2003-04,20,14,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6168
Running Layup Shot,Layup,304,20301175,34.0443,0,0,-118.2698,2,3,0,2003-04,7,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6169
Jump Shot,Jump Shot,317,20301175,33.4573,-71,587,-118.3408,0,3,0,2003-04,0,59,,3PT Field Goal,Back Court(BC),Backcourt,Back Court Shot,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6170
Jump Shot,Jump Shot,323,20301175,33.9043,72,140,-118.1978,11,4,0,2003-04,27,15,1.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6171
Fadeaway Jump Shot,Jump Shot,373,20301175,33.9263,61,118,-118.2088,6,4,0,2003-04,32,13,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6172
Driving Layup Shot,Layup,376,20301175,34.0443,0,0,-118.2698,6,4,0,2003-04,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6173
Jump Shot,Jump Shot,380,20301175,33.7833,-120,261,-118.3898,5,4,0,2003-04,24,28,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6174
Layup Shot,Layup,406,20301175,34.0443,0,0,-118.2698,3,4,0,2003-04,7,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6175
Jump Shot,Jump Shot,411,20301175,33.8993,29,145,-118.2408,2,4,0,2003-04,28,14,0.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6176
Jump Shot,Jump Shot,429,20301175,33.8293,-171,215,-118.4408,0,4,0,2003-04,20,27,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6177
Running Dunk Shot,Dunk,456,20301175,34.0443,0,0,-118.2698,0,4,0,2003-04,13,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-13,LAL vs. GSW,GSW,6178
Jump Shot,Jump Shot,2,20301187,34.0443,209,0,-118.0608,11,1,0,2003-04,28,20,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-04-14,LAL @ POR,POR,6179
Jump Shot,Jump Shot,8,20301187,33.8893,121,155,-118.1488,10,1,0,2003-04,29,19,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-04-14,LAL @ POR,POR,6180
Jump Shot,Jump Shot,15,20301187,33.9623,5,82,-118.2648,9,1,0,2003-04,36,8,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2004-04-14,LAL @ POR,POR,6181
Jump Shot,Jump Shot,25,20301187,33.8073,31,237,-118.2388,8,1,0,2003-04,28,23,0.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-14,LAL @ POR,POR,6182
Jump Shot,Jump Shot,56,20301187,33.9533,159,91,-118.1108,5,1,0,2003-04,20,18,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-04-14,LAL @ POR,POR,6183
Fadeaway Jump Shot,Jump Shot,85,20301187,34.0533,179,-9,-118.0908,2,1,0,2003-04,23,17,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-04-14,LAL @ POR,POR,6184
Jump Shot,Jump Shot,171,20301187,33.9473,225,97,-118.0448,5,2,0,2003-04,9,24,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-14,LAL @ POR,POR,6185
Dunk Shot,Dunk,177,20301187,34.0443,0,0,-118.2698,4,2,0,2003-04,34,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-14,LAL @ POR,POR,6186
Dunk Shot,Dunk,192,20301187,34.0443,0,0,-118.2698,3,2,0,2003-04,8,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-14,LAL @ POR,POR,6187
Running Hook Shot,Hook Shot,199,20301187,34.0093,21,35,-118.2488,1,2,0,2003-04,30,4,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-14,LAL @ POR,POR,6188
Jump Shot,Jump Shot,219,20301187,33.8473,-154,197,-118.4238,11,3,0,2003-04,12,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-04-14,LAL @ POR,POR,6189
Driving Layup Shot,Layup,232,20301187,34.0443,0,0,-118.2698,9,3,0,2003-04,52,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-04-14,LAL @ POR,POR,6190
Jump Shot,Jump Shot,298,20301187,33.8883,34,156,-118.2358,4,3,0,2003-04,17,15,1.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-04-14,LAL @ POR,POR,6191
Jump Shot,Jump Shot,301,20301187,33.9273,148,117,-118.1218,3,3,0,2003-04,49,18,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-04-14,LAL @ POR,POR,6192
Jump Shot,Jump Shot,307,20301187,33.9453,-46,99,-118.3158,3,3,0,2003-04,10,10,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2004-04-14,LAL @ POR,POR,6193
Jump Shot,Jump Shot,325,20301187,33.8323,-41,212,-118.3108,2,3,0,2003-04,3,21,1.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-04-14,LAL @ POR,POR,6194
Jump Shot,Jump Shot,327,20301187,33.8603,82,184,-118.1878,1,3,0,2003-04,28,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-04-14,LAL @ POR,POR,6195
